year,candidate,political_party,vote_perc,approv_rate,gdpc,unemp_rate,percent_white,education
1968,Richard M. Nixon,R,0.5594795539033457,45.6257312987013,2.734825,4.4750000000000005,88.6,106469
1972,Richard M. Nixon,R,0.966542750929368,56.75657446127946,2.53965,6.15,87.7,111133
1976,Jimmy Carter,D,0.5520446096654275,43.21994587516005,4.67845,6.675,87.7,116897
1980,Ronald W. Reagan,R,0.9089219330855018,39.73064121040551,1.265475,8.5,83.1,132899
1984,Ronald W. Reagan,R,0.9758364312267658,53.59081310996055,4.58215,6.975,83.1,143524
1988,George H.W. Bush,R,0.79182156133829,44.613657172692754,2.40685,5.8,83.1,151616
1992,Bill Clinton,D,0.6877323420074349,36.02195496985403,3.247075,6.525,80.3,160827
1996,Bill Clinton,D,0.7044609665427509,45.60099259268106,4.363575,4.75,80.3,168323
2000,George W. Bush,R,0.5037174721189591,44.16599681850599,2.432175,5.125,75.1,175230
2004,George W. Bush,R,0.5315985130111525,47.43486873430504,3.010825,4.949999999999999,75.1,186877
2008,Barack Obama,D,0.6784386617100372,44.765824548871,0.3603,5.8,75.1,196305
2012,Barack Obama,D,0.6171003717472119,45.04390089515618,2.356125,6.2,72.4,204579
2016,Donald Trump,R,0.5650557620817844,41.33907843022937,2.325425,4.7,72.4,215015
